model,feat,balance,f1_weighted,f1_macro,acc,time_s,recall_Weak,recall_Average,recall_Strong
lr,txt,none,0.8501,0.5524,0.8578,1.7,0.0,0.9094,0.7678
lr,txt,balanced,0.8579,0.6261,0.8517,1.9,0.2118,0.8301,0.9639
lr,txt,sm,0.8571,0.8252,0.8579,2.3,0.702,0.9115,0.7678
svm,txt,none,0.8542,0.5906,0.8595,1.3,0.0588,0.9009,0.796
svm,txt,balanced,0.8683,0.6051,0.8719,1.5,0.0588,0.8823,0.9015
svm,txt,sm,0.8914,0.8933,0.8898,1.5,0.9902,0.9024,0.8074
rf,txt,none,0.8646,0.576,0.8693,2.5,0.0118,0.8811,0.898
rf,txt,balanced,0.8686,0.6071,0.8714,2.4,0.0588,0.8696,0.9376
rf,txt,sm,0.9012,0.9057,0.8976,2.6,0.9902,0.8796,0.9094
xgb,txt,none,0.8638,0.6169,0.8675,74.8,0.0941,0.8956,0.8417
xgb,txt,balanced,0.8638,0.6169,0.8675,75.1,0.0941,0.8956,0.8417
xgb,txt,sm,0.8975,0.9002,0.8956,79.1,1.0,0.8997,0.8364
lr,mxd,none,0.9953,0.9553,0.9957,1.9,0.7882,0.9997,0.9991
lr,mxd,balanced,0.984,0.9244,0.9831,2.1,1.0,0.977,1.0
lr,mxd,sm,0.9976,0.9957,0.9976,2.2,1.0,0.9965,1.0
svm,mxd,none,0.9709,0.7275,0.9772,14.8,0.1294,0.995,0.9877
svm,mxd,balanced,0.9747,0.794,0.9788,17.8,0.2706,0.9903,0.9974
svm,mxd,sm,0.9909,0.991,0.9909,7.2,1.0,0.9923,0.9824
rf,mxd,none,0.9218,0.638,0.9289,2.5,0.0353,0.9428,0.9543
rf,mxd,balanced,0.9159,0.6464,0.9219,2.4,0.0588,0.9307,0.9604
rf,mxd,sm,0.9466,0.9486,0.9454,2.7,1.0,0.9345,0.9534
xgb,mxd,none,1.0,1.0,1.0,28.1,1.0,1.0,1.0
xgb,mxd,balanced,1.0,1.0,1.0,28.3,1.0,1.0,1.0
xgb,mxd,sm,1.0,1.0,1.0,30.6,1.0,1.0,1.0
lr,num,none,0.997,0.9704,0.9972,0.1,0.8588,0.9997,1.0
lr,num,balanced,0.982,0.9213,0.9809,0.1,1.0,0.974,1.0
lr,num,sm,0.9965,0.9934,0.9964,0.1,1.0,0.9947,1.0
svm,num,none,0.9792,0.7564,0.9848,0.0,0.1765,1.0,1.0
svm,num,balanced,0.9847,0.8979,0.9859,0.0,0.5647,0.9917,1.0
svm,num,sm,0.9958,0.992,0.9958,0.1,0.9647,0.9991,1.0
rf,num,none,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rf,num,balanced,1.0,1.0,1.0,1.1,1.0,1.0,1.0
rf,num,sm,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xgb,num,none,1.0,1.0,1.0,0.6,1.0,1.0,1.0
xgb,num,balanced,1.0,1.0,1.0,0.6,1.0,1.0,1.0
xgb,num,sm,1.0,1.0,1.0,0.6,1.0,1.0,1.0
stack,txt,none,0.8604,0.5824,0.8662,136.4,0.0353,0.9038,0.8162
stack,txt,balanced,0.791,0.5999,0.7539,126.2,0.7412,0.6923,0.9384
stack,mxd,none,1.0,1.0,1.0,32.5,1.0,1.0,1.0
stack,mxd,balanced,1.0,1.0,1.0,32.4,1.0,1.0,1.0
