model,feat,balance,f1_weighted,f1_macro,acc,time_s,recall_Weak,recall_Average,recall_Strong
lr,txt,none,0.7332,0.7165,0.7311,51.2,0.721,0.7649,0.6774
lr,txt,balanced,0.7294,0.7196,0.7243,45.2,0.7955,0.6528,0.7855
lr,txt,sm,0.8443,0.7364,0.8578,153.6,0.9901,0.6399,0.4329
svm,txt,none,0.7445,0.7278,0.7438,32.9,0.6676,0.79,0.7363
svm,txt,balanced,0.7469,0.7329,0.7442,32.5,0.7069,0.7457,0.7809
svm,txt,sm,0.8643,0.7689,0.8742,110.2,0.9946,0.6571,0.5236
rf,txt,none,0.7208,0.707,0.717,35.9,0.7719,0.7028,0.6859
rf,txt,balanced,0.7216,0.7105,0.7169,34.9,0.8115,0.6589,0.7274
rf,txt,sm,0.8692,0.7772,0.8785,115.7,0.9984,0.6466,0.5594
xgb,txt,none,0.7586,0.7462,0.7569,1853.0,0.7406,0.7683,0.7524
xgb,txt,balanced,0.7616,0.7497,0.7598,259.8,0.749,0.7671,0.7574
xgb,txt,sm,0.8753,0.7899,0.884,405.6,0.9998,0.6609,0.5748
stack,txt,none,0.6646,0.6438,0.6848,0.0,0.344,0.8559,0.719
stack,txt,balanced,0.7381,0.7268,0.7355,0.0,0.6676,0.6976,0.8797
