set,file,artifact,pred,proba,classes
demo,junior_dev.txt,deployed-xgb,Average,"0.999,0.000,0.000","Average,Strong,Weak"
demo,junior_dev.txt,v2-rf-primary,Average,"0.144,0.789,0.067","Weak,Average,Strong"
demo,junior_dev.txt,v2-xgb-merged,Weak,"0.617,0.349,0.034","Weak,Average,Strong"
demo,ocrtest.pdf,deployed-xgb,Average,"0.997,0.002,0.000","Average,Strong,Weak"
demo,ocrtest.pdf,v2-rf-primary,Average,"0.120,0.696,0.184","Weak,Average,Strong"
demo,ocrtest.pdf,v2-xgb-merged,Average,"0.425,0.539,0.036","Weak,Average,Strong"
demo,priya_dwivedi_repo_MathewElliot.docx,deployed-xgb,Average,"0.998,0.002,0.000","Average,Strong,Weak"
demo,priya_dwivedi_repo_MathewElliot.docx,v2-rf-primary,Average,"0.166,0.691,0.143","Weak,Average,Strong"
demo,priya_dwivedi_repo_MathewElliot.docx,v2-xgb-merged,Weak,"0.634,0.334,0.032","Weak,Average,Strong"
demo,pro-cv-template-burgundy.docx,deployed-xgb,Average,"0.997,0.003,0.000","Average,Strong,Weak"
demo,pro-cv-template-burgundy.docx,v2-rf-primary,Average,"0.337,0.548,0.115","Weak,Average,Strong"
demo,pro-cv-template-burgundy.docx,v2-xgb-merged,Weak,"0.510,0.275,0.214","Weak,Average,Strong"
demo,Rebecca_Software or Computational Roles.docx,deployed-xgb,Average,"0.866,0.002,0.132","Average,Strong,Weak"
demo,Rebecca_Software or Computational Roles.docx,v2-rf-primary,Average,"0.167,0.670,0.164","Weak,Average,Strong"
demo,Rebecca_Software or Computational Roles.docx,v2-xgb-merged,Weak,"0.540,0.241,0.219","Weak,Average,Strong"
demo,resume_02_rahul_verma.pdf,deployed-xgb,Average,"0.961,0.004,0.035","Average,Strong,Weak"
demo,resume_02_rahul_verma.pdf,v2-rf-primary,Average,"0.108,0.731,0.161","Weak,Average,Strong"
demo,resume_02_rahul_verma.pdf,v2-xgb-merged,Weak,"0.427,0.304,0.269","Weak,Average,Strong"
demo,resume_03_ananya_patel.pdf,deployed-xgb,Average,"0.929,0.048,0.024","Average,Strong,Weak"
demo,resume_03_ananya_patel.pdf,v2-rf-primary,Average,"0.126,0.795,0.079","Weak,Average,Strong"
demo,resume_03_ananya_patel.pdf,v2-xgb-merged,Weak,"0.727,0.196,0.077","Weak,Average,Strong"
demo,resume_04_vikram_singh.pdf,deployed-xgb,Average,"0.997,0.002,0.000","Average,Strong,Weak"
demo,resume_04_vikram_singh.pdf,v2-rf-primary,Average,"0.120,0.703,0.177","Weak,Average,Strong"
demo,resume_04_vikram_singh.pdf,v2-xgb-merged,Average,"0.426,0.541,0.034","Weak,Average,Strong"
demo,senior_python_dev.txt,deployed-xgb,Average,"0.955,0.009,0.036","Average,Strong,Weak"
demo,senior_python_dev.txt,v2-rf-primary,Average,"0.206,0.688,0.105","Weak,Average,Strong"
demo,senior_python_dev.txt,v2-xgb-merged,Weak,"0.658,0.167,0.175","Weak,Average,Strong"
demo,srbhr_repo_barry_allen_fe.pdf,deployed-xgb,Average,"0.989,0.010,0.000","Average,Strong,Weak"
demo,srbhr_repo_barry_allen_fe.pdf,v2-rf-primary,Average,"0.154,0.736,0.110","Weak,Average,Strong"
demo,srbhr_repo_barry_allen_fe.pdf,v2-xgb-merged,Weak,"0.668,0.197,0.135","Weak,Average,Strong"
benchmark,01_clean_standard.docx,deployed-xgb,Average,"0.969,0.026,0.006","Average,Strong,Weak"
benchmark,01_clean_standard.docx,v2-rf-primary,Average,"0.118,0.698,0.183","Weak,Average,Strong"
benchmark,01_clean_standard.docx,v2-xgb-merged,Average,"0.118,0.860,0.021","Weak,Average,Strong"
benchmark,02_two_column.pdf,deployed-xgb,Average,"0.798,0.199,0.004","Average,Strong,Weak"
benchmark,02_two_column.pdf,v2-rf-primary,Average,"0.057,0.579,0.364","Weak,Average,Strong"
benchmark,02_two_column.pdf,v2-xgb-merged,Average,"0.209,0.589,0.201","Weak,Average,Strong"
benchmark,03_table_docx.docx,deployed-xgb,Average,"0.987,0.010,0.004","Average,Strong,Weak"
benchmark,03_table_docx.docx,v2-rf-primary,Average,"0.086,0.669,0.245","Weak,Average,Strong"
benchmark,03_table_docx.docx,v2-xgb-merged,Average,"0.122,0.864,0.014","Weak,Average,Strong"
benchmark,04_duplicated_cells.docx,deployed-xgb,Average,"0.979,0.021,0.001","Average,Strong,Weak"
